NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Petrivka,4424000000,38.37,49.366,4424085501
Krasnodon,4411400000,39.742,48.295,4411400000
Sukhodilsk,4411400000,39.728,48.354,4411470700
Karaiashnyk,4425100000,39.23,49.367,4425181501
Izvaryne,4411400000,39.89,48.288,4411445600
Malomykolaivka,4420300000,39.018,48.307,4420356200
Maloriazantseve,4423800000,38.374,48.888,4423857200
Velykotsk,4422800000,40.029,49.348,4422881101
Nyzhnia Vilkhova,4424800000,39.576,48.733,4424884501
Volnukhyne,4422200000,39.286,48.351,4422281301
Cheliuskinets,4422200000,39.198,48.435,4422257000
Pokrovske,4425400000,38.228,49.739,4425484501
Shterivka,4411600000,38.946,48.314,4411647600
Shchotove,4410300000,39.116,48.168,4410346900
Kamiane,4410300000,39.166,48.167,4410346200
Sievernyi,4411400000,39.918,48.357,4411446500
Molodohvardiisk,4411400000,39.656,48.347,4411470400
Krasnyi Kut,4420300000,38.801,48.191,4420355900
Pluhatar,4420600000,39.736,49.23,4420689201
Leninske,4412700000,39.559,48.077,4412746300
Valuiske,4424800000,39.527,48.648,4424880501
Nyzhnobaranykivka,4420600000,39.829,49.072,4420688503
Nyzhnopokrovka,4425100000,38.638,49.21,4425182501
Preobrazhenne,4424000000,38.153,49.523,4424086001
Novomykilske,4421600000,38.181,49.295,4421686501
Novooleksandrivka,4420600000,39.283,49.133,4420688801
Varvarivka,4421600000,38.416,49.074,4421681001
Seleznivka,4423600000,38.791,48.396,4423656700
Simeikyne,4421400000,39.534,48.33,4421456500
Slovianoserbsk,4424500000,38.981,48.697,4424555100
Novobila,4423300000,39.194,49.763,4423383501
Polovynkyne,4425100000,38.921,49.225,4425184501
Stanytsia Luhanska,4424800000,39.475,48.655,4424855100
Bilolutsk,4423300000,39.016,49.699,4423355300
Bilorichenskyi,4422200000,39.074,48.448,4422255500
Krasna Talivka,4424800000,39.845,48.851,4424883001
Lyman,4425100000,38.946,49.332,4425182001
Parkhomenko,4421400000,39.718,48.578,4421486601
Biriukove,4424200000,39.739,47.954,4424255300
Krasnodon,4411400000,39.559,48.308,4411446200
Bulhakivka,4421600000,38.558,49.184,4421680701
Bunchukivka,4420900000,38.659,49.486,4420982301
Kuzemivka,4424000000,37.986,49.516,4424082501
Kuriachivka,4425100000,38.861,49.342,4425181701
Lantrativka,4425400000,38.252,49.948,4425482501
Kalmykivka,4425100000,38.656,49.297,4425181001
Pervomaisk,4424000000,38.26,49.447,4424085001
Nyzhnii Naholchyk,4420300000,39.085,48.015,4420356500
Novopskov,4423300000,39.118,49.532,4423355100
Novosvitlivka,4421400000,39.515,48.484,4421456200
Kozlove,4423300000,39.162,49.861,4423382801
Bilokurakyne,4420900000,38.721,49.533,4420955100
Zymohiria,4424500000,38.944,48.583,4424510300
Zorynsk,4423600000,38.62,48.415,4423610600
Maloivanivka,4423600000,38.642,48.382,4423682201
Oleksandrivka,4424200000,39.751,48.077,4424281101
Porichchia,4421400000,39.792,48.267,4421487001
Volodarsk,4412700000,39.584,48.121,4412745300
Peredilske,4424800000,39.15,48.753,4424885001
Petrivka,4424800000,39.266,48.804,4424855400
Mistky,4424000000,38.498,49.34,4424084001
Ivanivka,4420300000,38.946,48.234,4420355600
Metalist,4424500000,39.281,48.622,4424583901
Koliadivka,4423100000,39.201,49.08,4423183401
Kreminna,4421600000,38.202,49.037,4421610100
Vakhrusheve,4411600000,38.819,48.142,4411670300
Pryvillia,4411800000,38.293,49.001,4411870700
Rebrykove,4420300000,39.284,48.21,4420386601
Shyrokyi,4424800000,39.639,48.83,4424887001
Kolomyichykha,4424000000,37.965,49.453,4424082001
Mozhniakivka,4423300000,39.064,49.657,4423383201
Komyshne,4424800000,39.673,48.711,4424882501
Kamianka,4422200000,39.393,48.242,4422283301
Fabrychne,4422200000,39.324,48.481,4422287001
Khriashchuvate,4421400000,39.424,48.515,4421489301
Miluvatka,4424000000,38.169,49.336,4424083501
Chervonyi Zhovten,4424800000,39.348,48.919,4424886001
Chervonopopivka,4421600000,38.15,49.128,4421687301
Chervonopartyzansk,4412700000,39.787,48.074,4412770600
Rybiantseve,4423300000,39.024,49.477,4423386601
Chuhynka,4424800000,39.662,48.922,4424886501
Sharivka,4420900000,38.899,49.854,4420988801
Novostriltsivka,4422800000,39.917,49.322,4422885501
Malokhatka,4425100000,38.806,49.113,4425183501
Mankivka,4424000000,38.456,49.558,4424083001
Mykhailivka,4423600000,38.914,48.462,4423656400
Dmytrivka,4423100000,39.158,48.926,4423182301
Kamianka,4423300000,39.375,49.641,4423382501
Mykytivka,4420300000,38.896,48.339,4420384401
Pavlivka,4420900000,38.7,49.625,4420987201
Chabanivka,4423100000,38.758,49.032,4423188001
Nyzhnie,4412100000,38.634,48.775,4412145400
Taniushivka,4423300000,38.931,49.769,4423388201
Kudriashivka,4421600000,38.43,49.035,4421681901
Rubizhne,4412500000,38.366,49.021,4412500000
Stepove,4424500000,38.967,48.627,4424584001
Tymonove,4425400000,38.45,49.737,4425487001
Baranykivka,4420600000,39.84,49.16,4420681101
Baranykivka,4421600000,38.298,49.225,4421680201
Bakhmutivka,4423100000,39.051,48.868,4423180701
Yurivka,4422200000,38.979,48.487,4422257400
Tymoshyne,4420900000,38.807,49.673,4420988001
Shpotyne,4425100000,39.194,49.174,4425187001
Shtormove,4423100000,38.912,49.097,4423188501
Holubivka,4421600000,38.461,49.223,4421681301
Honcharivka,4424000000,38.153,49.476,4424081001
Yepifanivka,4421600000,38.569,49.078,4421681601
Kalynove,4423800000,38.513,48.564,4423856500
Shulikivka,4420600000,39.488,49.306,4420689801
Topoli,4425400000,38.164,49.815,4425487501
Kruhle,4424000000,38.49,49.466,4424082201
Khvorostianivka,4425100000,38.888,49.148,4425186001
Semykozivka,4420600000,39.568,49.233,4420689501
Oborotnivka,4424000000,38.042,49.591,4424084501
Medvezhanka,4424200000,39.518,48.172,4424285501
Smile,4424500000,38.916,48.676,4424584301
Danylivka,4420600000,39.625,49.113,4420684401
Sychanske,4422500000,39.398,49.432,4422588801
Chervonoarmiiske,4420900000,38.705,49.781,4420988201
Yuvileine,4410100000,39.184,48.553,4410165900
Chmyrivka,4425100000,38.942,49.291,4425186501
Yamy,4425400000,38.371,49.761,4425488001
Biloskeliuvate,4421400000,39.65,48.449,4421480801
Horodyshche,4420600000,39.64,49.039,4420683301
Yashchykove,4423600000,38.743,48.41,4423657700
Bilovodsk,4420600000,39.591,49.207,4420655100
Bilohorivka,4423800000,38.246,48.927,4423855300
Perevalsk,4423600000,38.813,48.437,4423610100
Kripenskyi,4410300000,39.054,48.075,4410346500
Samsonivka,4421400000,39.628,48.371,4421488801
Solidarne,4420900000,38.616,49.786,4420987810
Dubivskyi,4410300000,39.109,48.061,4410345900
Antratsyt,4410300000,39.091,48.125,4410300000
Raihorodka,4424000000,37.96,49.379,4424086501
Rafailivka,4420300000,39.199,48.118,4420385501
Striltsivka,4422800000,39.857,49.301,4422886601
Yevsuh,4420600000,39.289,49.205,4420685501
Buhaivka,4423600000,38.859,48.412,4423655500
Adrianopil,4423600000,38.72,48.363,4423681101
Alchevsk,4411200000,38.793,48.48,4411200000
Tytarivka,4425100000,38.878,49.234,4425185501
Berezivske,4423800000,38.609,48.668,4423881101
Khoroshe,4424500000,38.836,48.629,4424585501
Verkhnii Naholchyk,4410300000,39.084,48.089,4410345600
Sieverodonetsk,4412900000,38.482,48.946,4412900000
Borivske,4412900000,38.563,48.868,4412945200
Brianka,4410500000,38.666,48.504,4410500000
Chervonohvardiiske,4411000000,38.742,48.587,4411045700
Troitske,4423800000,38.39,48.53,4423885201
Kirovsk,4411000000,38.642,48.637,4411000000
Rudivka,4424000000,38.442,49.392,4424087001
