NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Donetska,Dzerzhynska,Dzerzhynsk,1400000000,1411200000,1411200000,37.849,48.395
Donetska,Krasnolymanskyi,Yampil,1400000000,1423000000,1423056400,37.943,48.934
Donetska,Marinskyi,Bohoiavlenka,1400000000,1423300000,1423382001,37.215,47.856
Donetska,Makiivska,Proletarske,1400000000,1413500000,1413569800,38.100,48.015
Donetska,Artemivskyi,Nykyforivka,1400000000,1420900000,1420985901,37.895,48.774
Donetska,Shakhtarska,Shakhtarsk,1400000000,1415300000,1415300000,38.416,48.075
Donetska,Yenakiivska,Yunokomunarivsk,1400000000,1412000000,1412070700,38.283,48.219
Donetska,Selydivska,Hirnyk,1400000000,1413800000,1413870300,37.370,48.053
Donetska,Druzhkivska,Druzhkivka,1400000000,1411700000,1411700000,37.530,48.618
Donetska,Artemivskyi,Kodema,1400000000,1420900000,1420985001,38.087,48.474
Donetska,Novoazovskyi,Kozatske,1400000000,1423600000,1423682801,37.976,47.232
Donetska,Kostiantynivskyi,Kindrativka,1400000000,1422400000,1422483501,37.576,48.591
Donetska,Zhdanivska,Zhdanivka,1400000000,1412100000,1412100000,38.256,48.155
Donetska,Druzhkivska,Raiske,1400000000,1411700000,1411746200,37.472,48.577
Donetska,Torezka,Rozsypne,1400000000,1414700000,1414745700,38.566,48.131
Donetska,Donetska,Mospyne,1400000000,1410100000,1410160500,38.081,47.878
Donetska,Novoazovskyi,Novoazovsk,1400000000,1423600000,1423610100,38.086,47.116
Donetska,Novohrodivska,Novohrodivka,1400000000,1413600000,1413600000,37.341,48.200
Donetska,Artemivskyi,Volodymyrivka,1400000000,1420900000,1420982001,38.205,48.664
Donetska,Krasnolymanskyi,Yarova,1400000000,1423000000,1423056600,37.648,49.056
Donetska,Makiivska,Yasynivka,1400000000,1413500000,1413565700,37.947,48.133
Donetska,Dobropilskyi,Hannivka,1400000000,1422000000,1422081101,37.110,48.484
Donetska,Artemivskyi,Berestove,1400000000,1420900000,1420980501,38.245,48.755
Donetska,Pershotravnevyi,Melekine,1400000000,1423900000,1423984401,37.397,46.958
Donetska,Starobeshivskyi,Sontseve,1400000000,1424500000,1424587501,38.031,47.540
Donetska,Yasynuvatskyi,Spartak,1400000000,1425500000,1425587601,37.769,48.079
Donetska,Krasnolymanskyi,Korovii Yar,1400000000,1423000000,1423081801,37.630,49.155
Donetska,Dzerzhynska,Novhorodske,1400000000,1411200000,1411246500,37.831,48.332
Donetska,Volnovaskyi,Stepne,1400000000,1421500000,1421587901,37.135,47.613
Donetska,Marinskyi,Stepne,1400000000,1423300000,1423387401,37.549,47.795
Donetska,Velykonovosilkivskyi,Komar,1400000000,1421200000,1421282401,36.751,47.977
Donetska,Yasynuvatskyi,Verkhnotoretske,1400000000,1425500000,1425555200,37.869,48.223
Donetska,Artemivskyi,Novoluhanske,1400000000,1420900000,1420986201,38.176,48.427
Donetska,Krasnoarmiiskyi,Novooleksandrivka,1400000000,1422700000,1422783601,37.552,48.282
Donetska,Volnovaskyi,Donske,1400000000,1421500000,1421555900,37.540,47.518
Donetska,Slovianskyi,Andriivka,1400000000,1424200000,1424280501,37.283,48.618
Donetska,Marinskyi,Yelyzavetivka,1400000000,1423300000,1423382501,37.300,47.887
Donetska,Kostiantynivskyi,Bilokuzmynivka,1400000000,1422400000,1422481501,37.674,48.654
Donetska,Volnovaskyi,Dmytrivka,1400000000,1421500000,1421581401,37.518,47.547
Donetska,Marinskyi,Kostiantynivka,1400000000,1423300000,1423384001,37.407,47.866
Donetska,Velykonovosilkivskyi,Kostiantynopil,1400000000,1421200000,1421282701,37.039,48.000
Donetska,Dobropilskyi,Sviatohorivka,1400000000,1422000000,1422055500,37.030,48.485
Donetska,Shakhtarskyi,Rozivka,1400000000,1425200000,1425286901,38.222,48.169
Donetska,Yasynuvatskyi,Rozivka,1400000000,1425500000,1425586501,37.776,48.282
Donetska,Shakhtarskyi,Rozsypne,1400000000,1425200000,1425286801,38.575,48.149
Donetska,Novoazovskyi,Sakhanka,1400000000,1423600000,1423686801,37.858,47.128
Donetska,Krasnoarmiiskyi,Serhiivka,1400000000,1422700000,1422786001,36.931,48.312
Donetska,Kostiantynivskyi,Novodmytrivka,1400000000,1422400000,1422484101,37.727,48.550
Donetska,Dokuchaievska,Dokuchaievsk,1400000000,1411600000,1411600000,37.677,47.749
Donetska,Amvrosiivskyi,Artemivka,1400000000,1420600000,1420681001,38.638,47.872
Donetska,Kostiantynivskyi,Artemivka,1400000000,1422400000,1422484401,37.377,48.492
Donetska,Volnovaskyi,Valerianivka,1400000000,1421500000,1421581201,37.387,47.639
